,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1
Sample11,1.0,0.9979200827559453,0.9946958680146495,0.9958160687331455,0.9931609463431822,0.9922242926189173,0.991783325787713,0.9975462513786704,1.0051848499051868,1.0128371812070316,1.0133129389126005,1.014918944777937,1.024320878914744,1.0328547317834011,1.0284565456843158,1.0274110034215875,1.028593434036412,1.0306738932916095,1.0360079174166932,1.0362283440155824,1.0329417973319208
Sample12,1.0,0.9988114966750321,0.9984638618261383,1.0029855217377783,1.001206909552782,1.0005261843764328,0.9997576293153773,1.0016901895116177,1.0053686669154256,1.008819109785279,1.0101920544029823,1.0089432502614435,1.0087473345626075,1.008825723045578,1.0193823149697079,1.02302468381889,1.021433033831367,1.020511770112078,1.0208570657496285,1.0234645198469194,1.0241667746528764
Sample13,1.0,1.0033075934358389,1.0060162255474878,1.0079177039668246,1.0078340113074467,1.004229130081545,1.0060721970927247,1.0048004361910354,1.007212225850352,1.010051692897654,1.0116994870189577,1.0147258115729938,1.0146147629626023,1.0138856215281695,1.0126925075028261,1.0152311448061038,1.0159056990411737,1.0141044654027391,1.0116014539406053,1.0090059832355822,1.0088290509159084
Sample14,1.0,1.0005855654029934,0.9983132376881492,1.0040635820029975,1.0025572777476508,1.0072857896859806,1.0045481101987486,1.0050721656016135,1.0116885907706545,1.0155220746654898,1.025180927966337,1.026466036531302,1.0290604355814708,1.032856315635122,1.0303908717823835,1.0288069425168638,1.0277995662457964,1.0297549966416872,1.0307596753049395,1.0317691879556585,1.0309132802243777
Sample15,1.0,0.9886487493390208,0.9861352990211036,0.986183362177366,0.9828687582338602,0.9802409973618177,0.9787900248675705,0.9793678241288051,0.9821391629902798,0.9804256242441077,0.979002092882852,0.9816423021628911,0.9795537299549851,0.9789311950722877,0.9798836659450836,0.9772037161320045,0.9791444697861427,0.9825825818297197,0.988436552091063,0.9901298603497839,0.9871591615386013
Sample16,1.0,1.001151196484166,1.0044851140483408,1.0082849912990655,1.0204051958412148,1.0299577597273917,1.0323646130655058,1.0354151952475075,1.0371556473253216,1.0318837094833768,1.0298559209996714,1.031365035051919,1.0377376878834768,1.0415462819135113,1.049477097843872,1.052251043193452,1.0477419246836182,1.049928315918691,1.0555130167892264,1.06010900443439,1.070940275958049
Sample17,1.0,1.0019480255083881,1.0028139530604594,1.0007254888457249,1.000090461875664,1.002973528313044,1.0060359911692445,1.0077207998153852,1.0052467214110115,1.0094872249019162,1.009314398741594,1.0161389780776382,1.0170767303169022,1.0175076654298507,1.0229156795014942,1.0221145518786041,1.0214979550374665,1.0152754732844425,1.0154121399323652,1.016790601050881,1.014346675301939
Sample18,1.0,0.9915837738632911,0.9847760030392957,0.9766029763157307,0.9766116485814786,0.977688015507575,0.9752274845158236,0.9709999575223417,0.9716382929270969,0.9728662639656159,0.9710661768535593,0.9683766658328595,0.9735150212544046,0.9754092389773331,0.970702613710662,0.9673360384688312,0.9630405567755489,0.9688186226728698,0.9701215842629431,0.9626080710747132,0.9639335387751432
Sample19,1.0,1.0003026669443318,0.9949838729009784,0.9959564352623852,1.0005065135509152,0.9997167963623342,0.9930472199432829,0.9878489740114587,0.9927457464122363,0.9878506002237988,0.9803384788298982,0.9773937359489706,0.9824156543144146,0.9847758262161834,0.9860203204806576,0.9911254850697421,0.9906873548443942,0.9944885260846085,0.9893809963945539,0.9891838705505895,0.9887102285175245
Sample20,1.0,1.0001761505846316,1.0024438693606916,1.0039948106527226,1.0041742702510157,1.007957062300375,1.0230384527242715,1.0274873821350359,1.0335589818935857,1.0322536010819476,1.0340481864420028,1.0332024421890704,1.0350524505794476,1.034250007364031,1.0295767765055315,1.0286848617598578,1.0288179509594346,1.0301627634409944,1.0313563082605304,1.0320968922506517,1.0254818377493224
Sample21,1.0,0.9950828615863376,0.9948587345193528,0.9985130463089451,1.0030273321499814,1.0092326830530036,1.0106470121471895,1.014268081166364,1.012091928532464,1.0068448395413276,1.007951993466294,1.0065074124584803,1.002125658002782,1.0032398845633186,1.0037018735502532,1.0029899836022513,1.0015370203994913,1.0007129869853277,1.0003116908354897,1.0030189504643519,1.0039593001000156
